origin,horizon,window_length,ridge,validation_raw_rmse,validation_w2,n_validation_targets,validation_target_start,validation_target_stop
4,4,24,0.0001,0.26673558208124515,7.9235206389085695,54,299,353
4,4,24,0.001,0.26672966485929667,7.922108719442859,54,299,353
4,4,24,0.01,0.2666732237255673,7.908612851261377,54,299,353
4,4,24,0.1,0.26629326693656974,7.812380923282826,54,299,353
4,4,24,1.0,0.2685023277262409,7.701724525464688,54,299,353
4,4,24,10.0,0.2918293061391874,8.740206817080114,54,299,353
4,4,48,1e-06,0.2833049688416235,8.46020062603511,54,299,353
4,4,48,0.0001,0.2833005086427185,8.459795920751027,54,299,353
4,4,48,0.001,0.283260243360953,8.45613794754332,54,299,353
4,4,48,0.01,0.28288347396271696,8.42147722946203,54,299,353
4,4,48,0.1,0.28057050591406485,8.18590159908099,54,299,353
4,4,48,1.0,0.28004685986336814,7.855181729357384,54,299,353
4,4,48,10.0,0.31477788196850603,9.537805619663706,54,299,353
4,4,72,1e-06,0.30863156115970963,10.099676130137324,54,299,353
4,4,72,0.0001,0.30862669461770725,10.099026269469245,54,299,353
4,4,72,0.001,0.308582644332146,10.093148366230944,54,299,353
4,4,72,0.01,0.3081589418393249,10.037019953456646,54,299,353
4,4,72,0.1,0.30486637027765284,9.631070072615481,54,299,353
4,4,72,1.0,0.298719539733467,8.845886348910582,54,299,353
4,4,72,10.0,0.32395508439518406,10.032365427101016,54,299,353
4,6,24,1e-06,0.29532767397098375,9.327667895959278,54,299,353
4,6,24,0.0001,0.2953280245098357,9.327508075341655,54,299,353
4,6,24,0.001,0.2953312143480679,9.326065313295087,54,299,353
4,6,24,0.01,0.29536358139602564,9.31256597571638,54,299,353
4,6,24,0.1,0.29579353689714377,9.23247968808385,54,299,353
4,6,24,1.0,0.30359635146438896,9.344640615729888,54,299,353
4,6,24,10.0,0.31725924509522735,9.858022162225106,54,299,353
4,6,48,1e-06,0.3130344092053441,9.946593257479272,54,299,353
4,6,48,0.0001,0.3130331631771427,9.94618815348553,54,299,353
4,6,48,0.001,0.31302193031606446,9.94253382474569,54,299,353
4,6,48,0.01,0.3129192678082482,9.908554369536287,54,299,353
4,6,48,0.1,0.3127810461450695,9.713002336696357,54,299,353
4,6,48,1.0,0.3262442088378972,9.918451735938472,54,299,353
4,6,48,10.0,0.368606862853156,12.007750840213,54,299,353
4,6,72,1e-06,0.33788100798457965,11.65982903758668,54,299,353
4,6,72,0.0001,0.3378765111648562,11.659022006784726,54,299,353
4,6,72,0.001,0.3378358325439455,11.651753856874196,54,299,353
4,6,72,0.01,0.3374492221264913,11.585041017504723,54,299,353
4,6,72,0.1,0.335314886592851,11.208193946666551,54,299,353
4,6,72,1.0,0.34552019717942895,11.132631393430536,54,299,353
4,6,72,10.0,0.38318142055068083,13.088246745304323,54,299,353
