origin,fit_end,val_end,test_end,horizon,source_index,target_index,method,window_length,ridge,raw_rmse,w2,min_pred_eig,reference_residual,reference_refreshed,reference_fallback
1,170,224,267,4,228,232,cholesky_gaussian_ar,224.0,0.1,0.24449873939148634,9.506277751703095,0.14123391624084397,,,
1,170,224,267,4,228,232,euclidean_gaussian_ar,224.0,0.1,0.28550815648390426,10.17951638283527,0.23325632724414563,,,
1,170,224,267,4,228,232,fixed_bwar,224.0,0.1,0.2777618602407365,9.428908421561239,0.1075554018272877,,,
1,170,224,267,4,228,232,local_bwar,48.0,0.1,0.2820876857266844,12.12903522526995,0.14299070644398398,1.1040051694190929e-10,1.0,0.0
1,170,224,267,4,228,232,log_euclidean_gaussian_ar,224.0,0.1,0.2417229745268989,9.846483817396575,0.10354696242648771,,,
1,170,224,267,4,228,232,persistence,,,0.4006588447024646,21.27339920212338,0.02795272703189784,,,
1,170,224,267,4,228,232,raw_var_window_ar,72.0,1e-06,0.4939355827942822,76.58708444295901,9.999999997533566e-09,,,
1,170,224,267,4,228,232,seasonal_window_naive,72.0,,0.40065884470246466,21.273505185520825,0.02794273703189747,,,
1,170,224,267,4,229,233,cholesky_gaussian_ar,224.0,0.1,0.2658551845330272,9.789028273046304,0.13438564086967472,,,
1,170,224,267,4,229,233,euclidean_gaussian_ar,224.0,0.1,0.22583331635679396,9.344285215644321,0.23479738853602986,,,
1,170,224,267,4,229,233,fixed_bwar,224.0,0.1,0.28823811997824444,8.707573470972013,0.10658060919244866,,,
1,170,224,267,4,229,233,local_bwar,48.0,0.1,0.20891222561859032,9.578274165680526,0.13925736729958105,1.0944881147254035e-10,1.0,0.0
1,170,224,267,4,229,233,log_euclidean_gaussian_ar,224.0,0.1,0.2947349435030034,12.806144054541893,0.09402962336315997,,,
1,170,224,267,4,229,233,persistence,,,0.3198078488153509,14.364469776573143,0.014622172262076329,,,
1,170,224,267,4,229,233,raw_var_window_ar,72.0,1e-06,0.5410304193249091,79.77018489332201,9.999999999059923e-09,,,
1,170,224,267,4,229,233,seasonal_window_naive,72.0,,0.3198078488153508,14.364585418867978,0.014612182262076102,,,
