setting,seed,n,d,phi,dispersion,window_length,fit_end,validation_end,method,ridge,validation_w2_mean,w2_mean,w2_ratio_mean,n_test_origins,min_pred_eig,mean_shift_strength,covariance_shift_strength,coordinate_dimension,reference_condition
No shift,19,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.13384801822703787,0.1621291087913241,0.8886247250445779,91,0.2456180170859238,0.35,0.8,20,6.0
No shift,19,260,5,0.7,0.16,36,117,169,local_bwar,0.0001,0.13421184552098483,0.16327547135963855,0.8949079034920765,91,0.2481684949660596,0.35,0.8,20,6.0
No shift,20,260,5,0.7,0.16,36,117,169,persistence,,,0.20269312687929997,1.0,91,0.1137371831581508,0.35,0.8,20,6.0
No shift,20,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.21969257820957955,0.19597150085426535,0.9668384116988968,91,0.20258470230826806,0.35,0.8,20,6.0
No shift,20,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.21968817412027297,0.19528375466636672,0.963445370215511,91,0.17060661319386902,0.35,0.8,20,6.0
No shift,20,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.21815311961580294,0.19474750458875809,0.9607997448513715,91,0.17268840467964966,0.35,0.8,20,6.0
No shift,20,260,5,0.7,0.16,36,117,169,fixed_bwar,0.0001,0.21264713961468204,0.1883283239369773,0.9291302908811672,91,0.17997369455918275,0.35,0.8,20,6.0
No shift,20,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.2133791762320477,0.19002254328179496,0.9374888345126271,91,0.18441547451889279,0.35,0.8,20,6.0
No shift,21,260,5,0.7,0.16,36,117,169,persistence,,,0.16170218554333168,1.0,91,0.11326053372853172,0.35,0.8,20,6.0
No shift,21,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.16137094543132247,0.1481648264769694,0.916282151531374,91,0.3004110675722343,0.35,0.8,20,6.0
No shift,21,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.15852175003405197,0.14722192416398827,0.9104510472094819,91,0.2519393337711814,0.35,0.8,20,6.0
No shift,21,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.15928711604867327,0.14748066490399342,0.9120511538446258,91,0.23420924662574663,0.35,0.8,20,6.0
No shift,21,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.1580001720031236,0.14595808586870726,0.9026352079180436,91,0.24946903445054694,0.35,0.8,20,6.0
No shift,21,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.15838298148271202,0.14624220026869222,0.9043922305521553,91,0.24845557814174188,0.35,0.8,20,6.0
No shift,22,260,5,0.7,0.16,36,117,169,persistence,,,0.2180412941161454,1.0,91,0.13476906357310697,0.35,0.8,20,6.0
No shift,22,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.21270048583284604,0.2115023755929369,0.9700106415634949,91,0.2834618241908935,0.35,0.8,20,6.0
No shift,22,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.21393683036686645,0.21141455863448172,0.9696078877694894,91,0.22878990585934958,0.35,0.8,20,6.0
No shift,22,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.21440524767578373,0.2085181181769057,0.9563239799238811,91,0.23671009577047783,0.35,0.8,20,6.0
No shift,22,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.2096188665236135,0.20446498521955817,0.937735148052481,91,0.26368095147920473,0.35,0.8,20,6.0
No shift,22,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.20985439994531313,0.20588085620066002,0.94422873903414,91,0.2642292581688816,0.35,0.8,20,6.0
No shift,23,260,5,0.7,0.16,36,117,169,persistence,,,0.20049256101333635,1.0,91,0.04661676275202983,0.35,0.8,20,6.0
No shift,23,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.18492163131645778,0.1826196563082947,0.9108550231753846,91,0.16238669121727442,0.35,0.8,20,6.0
No shift,23,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.19167784004295607,0.1932827292384514,0.9640394050609921,91,0.13793046743436307,0.35,0.8,20,6.0
No shift,23,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.17794539384742378,0.1861441723932783,0.9284343092455005,91,0.12199597598431028,0.35,0.8,20,6.0
No shift,23,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.17521524205821104,0.18045655799243876,0.9000661026043514,91,0.14169521059444146,0.35,0.8,20,6.0
No shift,23,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.17533840210915155,0.18145106813981685,0.9050264370045485,91,0.1417409382391211,0.35,0.8,20,6.0
No shift,24,260,5,0.7,0.16,36,117,169,persistence,,,0.20009719594535996,1.0,91,0.12527811638470235,0.35,0.8,20,6.0
No shift,24,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.17348501614525239,0.19321068907105288,0.9655841910139132,91,0.24726239839586633,0.35,0.8,20,6.0
No shift,24,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.17674483695991722,0.19960392645709765,0.9975348505713343,91,0.21512580379272447,0.35,0.8,20,6.0
No shift,24,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.17201792605617633,0.18896996691536025,0.9443908797550656,91,0.20234323930116002,0.35,0.8,20,6.0
No shift,24,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.1708705742465306,0.1858495111091801,0.9287961794323673,91,0.21380794433984854,0.35,0.8,20,6.0
No shift,24,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.1712119745858541,0.18649234074410195,0.9320087663548616,91,0.21282441110836667,0.35,0.8,20,6.0
No shift,25,260,5,0.7,0.16,36,117,169,persistence,,,0.1729229003012229,1.0,91,0.04974984189657213,0.35,0.8,20,6.0
No shift,25,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.19121842086587304,0.17208128941041426,0.9951330281336792,91,0.1734463929229645,0.35,0.8,20,6.0
No shift,25,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.19783849409416737,0.17648220789166075,1.0205832054877504,91,0.12353257698211602,0.35,0.8,20,6.0
No shift,25,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.19076030891109472,0.16849433276313655,0.9743899302500015,91,0.12148862508713267,0.35,0.8,20,6.0
No shift,25,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.18181658321180547,0.1653075076489475,0.9559607626346206,91,0.13753482768758338,0.35,0.8,20,6.0
No shift,25,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.1815043231290265,0.16571139767975696,0.9582964280098016,91,0.13758793924172602,0.35,0.8,20,6.0
No shift,26,260,5,0.7,0.16,36,117,169,persistence,,,0.1764675342312993,1.0,91,0.10282005423031063,0.35,0.8,20,6.0
No shift,26,260,5,0.7,0.16,36,117,169,euclidean,0.0001,0.17843052224832306,0.16578577446297763,0.9394689804283156,91,0.20409605409362294,0.35,0.8,20,6.0
No shift,26,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.16888719583393927,0.1664674723432122,0.9433320019365159,91,0.1464710161427106,0.35,0.8,20,6.0
No shift,26,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.16830166653910553,0.16919604677858993,0.9587941913259892,91,0.15012725032926272,0.35,0.8,20,6.0
No shift,26,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.16659878130451367,0.1649252308518349,0.934592482239052,91,0.16357204544335685,0.35,0.8,20,6.0
