drift_strength,setting,seed,n,d,phi,dispersion,window_length,fit_end,validation_end,method,ridge,validation_w2_mean,w2_mean,w2_ratio_mean,n_test_origins,min_pred_eig,mean_shift_strength,covariance_shift_strength,coordinate_dimension,reference_condition
0.0,Gradual joint shift,20,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.21968817412027122,0.19528375466636724,0.9634453702155018,91,0.17060661319386725,0.0,0.0,20,6.0
0.0,Gradual joint shift,20,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.21969257820958282,0.19597150085426654,0.9668384116988907,91,0.20258470230826703,0.0,0.0,20,6.0
0.0,Gradual joint shift,20,260,5,0.7,0.16,36,117,169,fixed_bwar,0.0001,0.2126471396146821,0.18832832393697949,0.9291302908811665,91,0.17997369455918194,0.0,0.0,20,6.0
0.0,Gradual joint shift,20,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.2133791762320465,0.1900225432817952,0.9374888345126166,91,0.18441547451889032,0.0,0.0,20,6.0
0.0,Gradual joint shift,20,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.2181531196158031,0.19474750458875562,0.9607997448513476,91,0.17268840467964647,0.0,0.0,20,6.0
0.0,Gradual joint shift,20,260,5,0.7,0.16,36,117,169,persistence,,,0.20269312687930247,1.0,91,0.11373718315815047,0.0,0.0,20,6.0
0.0,Gradual joint shift,21,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.15852175003405328,0.14722192416398852,0.9104510472094877,91,0.25193933377118194,0.0,0.0,20,6.0
0.0,Gradual joint shift,21,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.1613709454313215,0.1481648264769688,0.9162821515313746,91,0.30041106757223496,0.0,0.0,20,6.0
0.0,Gradual joint shift,21,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.1580001720031217,0.1459580858687077,0.9026352079180505,91,0.24946903445054855,0.0,0.0,20,6.0
0.0,Gradual joint shift,21,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.15838298148271115,0.14624220026868964,0.9043922305521436,91,0.24845557814174318,0.0,0.0,20,6.0
0.0,Gradual joint shift,21,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.15928711604867224,0.14748066490399164,0.912051153844619,91,0.234209246625749,0.0,0.0,20,6.0
0.0,Gradual joint shift,21,260,5,0.7,0.16,36,117,169,persistence,,,0.16170218554333093,1.0,91,0.11326053372853274,0.0,0.0,20,6.0
0.0,Gradual joint shift,22,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.21393683036686598,0.2114145586344817,0.9696078877694899,91,0.22878990585934836,0.0,0.0,20,6.0
0.0,Gradual joint shift,22,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.21270048583284776,0.21150237559293766,0.9700106415634993,91,0.2834618241908937,0.0,0.0,20,6.0
0.0,Gradual joint shift,22,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.20961886652361386,0.20446498521956094,0.9377351480524945,91,0.2636809514792034,0.0,0.0,20,6.0
0.0,Gradual joint shift,22,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.2098543999453134,0.20588085620065977,0.9442287390341396,91,0.26422925816887993,0.0,0.0,20,6.0
0.0,Gradual joint shift,22,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.21440524767578462,0.2085181181769035,0.9563239799238717,91,0.23671009577047747,0.0,0.0,20,6.0
0.0,Gradual joint shift,22,260,5,0.7,0.16,36,117,169,persistence,,,0.21804129411614523,1.0,91,0.13476906357310647,0.0,0.0,20,6.0
0.0,Gradual joint shift,23,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.19167784004295674,0.19328272923845027,0.964039405060985,91,0.1379304674343632,0.0,0.0,20,6.0
0.0,Gradual joint shift,23,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.18492163131646105,0.18261965630829363,0.910855023175378,91,0.16238669121727473,0.0,0.0,20,6.0
0.0,Gradual joint shift,23,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.1752152420582106,0.18045655799244278,0.9000661026043701,91,0.1416952105944402,0.0,0.0,20,6.0
0.0,Gradual joint shift,23,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.17533840210915355,0.18145106813981587,0.9050264370045424,91,0.14174093823912146,0.0,0.0,20,6.0
0.0,Gradual joint shift,23,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.17794539384742564,0.18614417239327888,0.9284343092455021,91,0.1219959759843108,0.0,0.0,20,6.0
0.0,Gradual joint shift,23,260,5,0.7,0.16,36,117,169,persistence,,,0.20049256101333662,1.0,91,0.0466167627520298,0.0,0.0,20,6.0
0.0,Gradual joint shift,24,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.1767448369599178,0.1996039264570994,0.9975348505713436,91,0.21512580379272558,0.0,0.0,20,6.0
